AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1590.00, GY: -277.00, GZ: 2.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1626.00, GY: -281.00, GZ: -2.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1599.00, GY: -278.00, GZ: -49.00
AX: -0.03, AY: 0.01, AZ: -1.00, GX: -1601.00, GY: -293.00, GZ: -26.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1610.00, GY: -266.00, GZ: -12.00
AX: -0.05, AY: 0.01, AZ: -1.00, GX: -1608.00, GY: -274.00, GZ: -10.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1566.00, GY: -310.00, GZ: -21.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1570.00, GY: -268.00, GZ: -53.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1579.00, GY: -299.00, GZ: -11.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1607.00, GY: -260.00, GZ: -9.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1579.00, GY: -293.00, GZ: -42.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1596.00, GY: -314.00, GZ: -28.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1576.00, GY: -262.00, GZ: -18.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1618.00, GY: -297.00, GZ: -16.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1553.00, GY: -284.00, GZ: -32.00
AX: -0.05, AY: -0.00, AZ: -1.00, GX: -1612.00, GY: -308.00, GZ: 5.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -283.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1592.00, GY: -275.00, GZ: -26.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1601.00, GY: -287.00, GZ: -57.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1594.00, GY: -271.00, GZ: 27.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1595.00, GY: -276.00, GZ: 21.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1557.00, GY: -317.00, GZ: -48.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1579.00, GY: -277.00, GZ: -16.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1561.00, GY: -271.00, GZ: 0.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1597.00, GY: -269.00, GZ: -52.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1565.00, GY: -273.00, GZ: -40.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1598.00, GY: -321.00, GZ: -1.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1579.00, GY: -288.00, GZ: 3.00
