AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1615.00, GY: -258.00, GZ: 22.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1632.00, GY: -273.00, GZ: 17.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1608.00, GY: -279.00, GZ: 4.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1575.00, GY: -261.00, GZ: 20.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1624.00, GY: -275.00, GZ: 39.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1614.00, GY: -266.00, GZ: 18.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1543.00, GY: -258.00, GZ: 33.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1598.00, GY: -274.00, GZ: 9.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1561.00, GY: -259.00, GZ: 14.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1603.00, GY: -283.00, GZ: -10.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1612.00, GY: -260.00, GZ: -25.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1579.00, GY: -259.00, GZ: 20.00
